iter	Passed	Remaining
0	1	142
1	2	133
2	3	120
3	4	117
4	6	117
5	7	116
6	8	115
7	10	115
8	11	115
9	12	115
10	14	113
11	15	112
12	16	110
13	17	109
14	18	107
15	20	105
16	21	103
17	22	103
18	24	103
19	25	103
20	27	102
21	28	102
22	30	101
23	31	100
24	32	98
25	34	97
26	35	96
27	36	94
28	38	93
29	39	91
30	40	90
31	41	89
32	43	88
33	44	86
34	46	85
35	47	84
36	48	82
37	50	81
38	51	80
39	52	79
40	54	77
41	55	76
42	56	74
43	57	73
44	59	72
45	60	71
46	62	69
47	63	68
48	65	67
49	66	66
50	67	64
51	68	63
52	70	62
53	71	60
54	73	59
55	74	58
56	76	57
57	78	56
58	79	55
59	81	54
60	81	52
61	83	51
62	84	49
63	85	48
64	86	46
65	87	45
66	89	43
67	90	42
68	91	41
69	92	39
70	93	38
71	94	36
72	95	35
73	96	33
74	97	32
75	98	31
76	99	29
77	100	28
78	101	26
79	101	25
80	102	24
81	103	22
82	104	21
83	105	20
84	106	18
85	106	17
86	107	16
87	108	14
88	109	13
89	110	12
90	110	10
91	111	9
92	112	8
93	113	7
94	113	5
95	114	4
96	115	3
97	116	2
98	116	1
99	117	0
